County,Year,Quarter,Medication_Assisted_Treatment,Beneficiaries,Status,Annotation,Annotation_Description,,
Amador / Alpine,2016,Q4,Buprenorphine,28,F,,,,
Amador / Alpine,2017,Q1,Buprenorphine,33,F,,,,
Amador / Alpine,2017,Q2,Buprenorphine,38,F,,,,
Amador / Alpine,2017,Q3,Buprenorphine,38,F,,,,
Amador / Alpine,2017,Q4,Buprenorphine,36,F,,,,
Amador / Alpine,2018,Q1,Buprenorphine,43,F,,,,
Amador / Alpine,2018,Q2,Buprenorphine,48,F,,,,
Amador / Alpine,2018,Q3,Buprenorphine,57,F,,,,
Amador / Alpine,2018,Q4,Buprenorphine,63,F,,,,
Amador / Alpine,2019,Q1,Buprenorphine,58,F,,,,
Amador / Alpine,2019,Q2,Buprenorphine,61,F,,,,
Amador / Alpine,2019,Q3,Buprenorphine,58,F,,,,
Amador / Alpine,2019,Q4,Buprenorphine,58,F,,,,
Amador / Alpine,2020,Q1,Buprenorphine,61,P,,,,
Butte,2010,Q1,Buprenorphine,49,F,,,,
Butte,2010,Q2,Buprenorphine,50,F,,,,
Butte,2010,Q3,Buprenorphine,50,F,,,,
Butte,2010,Q4,Buprenorphine,52,F,,,,
Butte,2011,Q1,Buprenorphine,54,F,,,,
Butte,2011,Q2,Buprenorphine,50,F,,,,
Butte,2011,Q3,Buprenorphine,59,F,,,,
Butte,2011,Q4,Buprenorphine,67,F,,,,
Butte,2012,Q1,Buprenorphine,64,F,,,,
Butte,2012,Q2,Buprenorphine,59,F,,,,
Butte,2012,Q3,Buprenorphine,71,F,,,,
Butte,2012,Q4,Buprenorphine,71,F,,,,
Butte,2013,Q1,Buprenorphine,73,F,,,,
Butte,2013,Q2,Buprenorphine,77,F,,,,
Butte,2013,Q3,Buprenorphine,77,F,,,,
Butte,2013,Q4,Buprenorphine,66,F,,,,
Butte,2014,Q1,Buprenorphine,85,F,,,,
Butte,2014,Q2,Buprenorphine,112,F,,,,
Butte,2014,Q3,Buprenorphine,136,F,,,,
Butte,2014,Q4,Buprenorphine,147,F,,,,
Butte,2015,Q1,Buprenorphine,156,F,,,,
Butte,2015,Q2,Buprenorphine,199,F,,,,
Butte,2015,Q3,Buprenorphine,227,F,,,,
Butte,2015,Q4,Buprenorphine,222,F,,,,
Butte,2016,Q1,Buprenorphine,255,F,,,,
Butte,2016,Q2,Buprenorphine,258,F,,,,
Butte,2016,Q3,Buprenorphine,276,F,,,,
Butte,2016,Q4,Buprenorphine,297,F,,,,
Butte,2017,Q1,Buprenorphine,280,F,,,,
Butte,2017,Q2,Buprenorphine,317,F,,,,
Butte,2017,Q3,Buprenorphine,344,F,,,,
Butte,2017,Q4,Buprenorphine,343,F,,,,
Butte,2018,Q1,Buprenorphine,376,F,,,,
Butte,2018,Q2,Buprenorphine,388,F,,,,
Butte,2018,Q3,Buprenorphine,394,F,,,,
Butte,2018,Q4,Buprenorphine,427,F,,,,
Butte,2019,Q1,Buprenorphine,497,F,,,,
Butte,2019,Q2,Buprenorphine,496,F,,,,
Butte,2019,Q3,Buprenorphine,483,F,,,,
Butte,2019,Q4,Buprenorphine,517,F,,,,
Butte,2020,Q1,Buprenorphine,571,P,,,,
Calaveras,2010,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Calaveras,2010,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,,
Calaveras,2010,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,,
Calaveras,2010,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,,
Calaveras,2011,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Calaveras,2011,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,,
Calaveras,2011,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,,
Calaveras,2011,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,,
Calaveras,2012,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Calaveras,2012,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,,
Calaveras,2012,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,,
Calaveras,2012,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,,
Calaveras,2013,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Calaveras,2013,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,,
Calaveras,2013,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,,
Calaveras,2013,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,,
Calaveras,2014,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Calaveras,2014,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,,
Calaveras,2014,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,,
Calaveras,2014,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,,
Calaveras,2015,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Calaveras,2015,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,,
Calaveras,2015,Q3,Buprenorphine,11,F,,,,
Calaveras,2015,Q4,Buprenorphine,11,F,,,,
Calaveras,2016,Q1,Buprenorphine,19,F,,,,
Calaveras,2016,Q2,Buprenorphine,18,F,,,,
Calaveras,2016,Q3,Buprenorphine,22,F,,,,
Calaveras,2016,Q4,Buprenorphine,36,F,,,,
Calaveras,2017,Q1,Buprenorphine,37,F,,,,
Calaveras,2017,Q2,Buprenorphine,36,F,,,,
Calaveras,2017,Q3,Buprenorphine,38,F,,,,
Calaveras,2017,Q4,Buprenorphine,40,F,,,,
Calaveras,2018,Q1,Buprenorphine,42,F,,,,
Calaveras,2018,Q2,Buprenorphine,51,F,,,,
Calaveras,2018,Q3,Buprenorphine,48,F,,,,
Calaveras,2018,Q4,Buprenorphine,45,F,,,,
Calaveras,2019,Q1,Buprenorphine,51,F,,,,
Calaveras,2019,Q2,Buprenorphine,51,F,,,,
Calaveras,2019,Q3,Buprenorphine,51,F,,,,
Calaveras,2019,Q4,Buprenorphine,51,F,,,,
Calaveras,2020,Q1,Buprenorphine,45,P,,,,
Colusa,2010,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2010,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2010,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2010,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2011,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2011,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2011,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2011,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2012,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2012,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2012,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2012,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2013,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2013,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2013,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2013,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2014,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2014,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2014,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2014,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2015,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2015,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2015,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2015,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2016,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2016,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2016,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2016,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2017,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2017,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2017,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2017,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2018,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2018,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2018,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2018,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2019,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2019,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2019,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2019,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,,
Colusa,2020,Q1,Buprenorphine,14,P,,,,
Contra Costa,2010,Q1,Buprenorphine,23,F,,,,
Contra Costa,2010,Q2,Buprenorphine,30,F,,,,
Contra Costa,2010,Q3,Buprenorphine,30,F,,,,
Contra Costa,2010,Q4,Buprenorphine,24,F,,,,
Contra Costa,2011,Q1,Buprenorphine,24,F,,,,
Contra Costa,2011,Q2,Buprenorphine,30,F,,,,
Contra Costa,2011,Q3,Buprenorphine,33,F,,,,
Contra Costa,2011,Q4,Buprenorphine,35,F,,,,
Contra Costa,2012,Q1,Buprenorphine,45,F,,,,
Contra Costa,2012,Q2,Buprenorphine,42,F,,,,
Contra Costa,2012,Q3,Buprenorphine,43,F,,,,
Contra Costa,2012,Q4,Buprenorphine,46,F,,,,
Contra Costa,2013,Q1,Buprenorphine,46,F,,,,
Contra Costa,2013,Q2,Buprenorphine,45,F,,,,
Contra Costa,2013,Q3,Buprenorphine,52,F,,,,
Contra Costa,2013,Q4,Buprenorphine,53,F,,,,
Contra Costa,2014,Q1,Buprenorphine,173,F,,,,
Contra Costa,2014,Q2,Buprenorphine,185,F,,,,
Contra Costa,2014,Q3,Buprenorphine,200,F,,,,
Contra Costa,2014,Q4,Buprenorphine,222,F,,,,
Contra Costa,2015,Q1,Buprenorphine,243,F,,,,
Contra Costa,2015,Q2,Buprenorphine,270,F,,,,
Contra Costa,2015,Q3,Buprenorphine,273,F,,,,
Contra Costa,2015,Q4,Buprenorphine,281,F,,,,
Contra Costa,2016,Q1,Buprenorphine,290,F,,,,
Contra Costa,2016,Q2,Buprenorphine,331,F,,,,
Contra Costa,2016,Q3,Buprenorphine,353,F,,,,
Contra Costa,2016,Q4,Buprenorphine,352,F,,,,
Contra Costa,2017,Q1,Buprenorphine,372,F,,,,
Contra Costa,2017,Q2,Buprenorphine,390,F,,,,
Contra Costa,2017,Q3,Buprenorphine,427,F,,,,
Contra Costa,2017,Q4,Buprenorphine,441,F,,,,
Contra Costa,2018,Q1,Buprenorphine,470,F,,,,
Contra Costa,2018,Q2,Buprenorphine,538,F,,,,
Contra Costa,2018,Q3,Buprenorphine,571,F,,,,
Contra Costa,2018,Q4,Buprenorphine,590,F,,,,
Contra Costa,2019,Q1,Buprenorphine,625,F,,,,
Contra Costa,2019,Q2,Buprenorphine,694,F,,,,
Contra Costa,2019,Q3,Buprenorphine,727,F,,,,
Contra Costa,2019,Q4,Buprenorphine,751,F,,,,
Contra Costa,2020,Q1,Buprenorphine,842,P,,,,
Del Norte,2010,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Del Norte,2010,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,,
Del Norte,2010,Q3,Buprenorphine,15,F,,,,
Del Norte,2010,Q4,Buprenorphine,14,F,,,,
Del Norte,2011,Q1,Buprenorphine,13,F,,,,
Del Norte,2011,Q2,Buprenorphine,15,F,,,,
Del Norte,2011,Q3,Buprenorphine,17,F,,,,
Del Norte,2011,Q4,Buprenorphine,17,F,,,,
Del Norte,2012,Q1,Buprenorphine,19,F,,,,
Del Norte,2012,Q2,Buprenorphine,17,F,,,,
Del Norte,2012,Q3,Buprenorphine,16,F,,,,
Del Norte,2012,Q4,Buprenorphine,17,F,,,,
Del Norte,2013,Q1,Buprenorphine,18,F,,,,
Del Norte,2013,Q2,Buprenorphine,21,F,,,,
Del Norte,2013,Q3,Buprenorphine,18,F,,,,
Del Norte,2013,Q4,Buprenorphine,18,F,,,,
Del Norte,2014,Q1,Buprenorphine,32,F,,,,
Del Norte,2014,Q2,Buprenorphine,35,F,,,,
Del Norte,2014,Q3,Buprenorphine,38,F,,,,
Del Norte,2014,Q4,Buprenorphine,42,F,,,,
Del Norte,2015,Q1,Buprenorphine,55,F,,,,
Del Norte,2015,Q2,Buprenorphine,59,F,,,,
Del Norte,2015,Q3,Buprenorphine,73,F,,,,
Del Norte,2015,Q4,Buprenorphine,71,F,,,,
Del Norte,2016,Q1,Buprenorphine,69,F,,,,
Del Norte,2016,Q2,Buprenorphine,80,F,,,,
Del Norte,2016,Q3,Buprenorphine,79,F,,,,
Del Norte,2016,Q4,Buprenorphine,90,F,,,,
Del Norte,2017,Q1,Buprenorphine,97,F,,,,
Del Norte,2017,Q2,Buprenorphine,93,F,,,,
Del Norte,2017,Q3,Buprenorphine,95,F,,,,
Del Norte,2017,Q4,Buprenorphine,99,F,,,,
Del Norte,2018,Q1,Buprenorphine,98,F,,,,
Del Norte,2018,Q2,Buprenorphine,103,F,,,,
Del Norte,2018,Q3,Buprenorphine,111,F,,,,
Del Norte,2018,Q4,Buprenorphine,122,F,,,,
Del Norte,2019,Q1,Buprenorphine,118,F,,,,
Del Norte,2019,Q2,Buprenorphine,115,F,,,,
Del Norte,2019,Q3,Buprenorphine,126,F,,,,
Del Norte,2019,Q4,Buprenorphine,130,F,,,,
Del Norte,2020,Q1,Buprenorphine,126,P,,,,
El Dorado,2010,Q1,Buprenorphine,14,F,,,,
El Dorado,2010,Q2,Buprenorphine,14,F,,,,
El Dorado,2010,Q3,Buprenorphine,16,F,,,,
El Dorado,2010,Q4,Buprenorphine,17,F,,,,
El Dorado,2011,Q1,Buprenorphine,13,F,,,,
El Dorado,2011,Q2,Buprenorphine,22,F,,,,
El Dorado,2011,Q3,Buprenorphine,18,F,,,,
El Dorado,2011,Q4,Buprenorphine,19,F,,,,
El Dorado,2012,Q1,Buprenorphine,24,F,,,,
El Dorado,2012,Q2,Buprenorphine,23,F,,,,
El Dorado,2012,Q3,Buprenorphine,23,F,,,,
El Dorado,2012,Q4,Buprenorphine,28,F,,,,
El Dorado,2013,Q1,Buprenorphine,35,F,,,,
El Dorado,2013,Q2,Buprenorphine,30,F,,,,
El Dorado,2013,Q3,Buprenorphine,30,F,,,,
El Dorado,2013,Q4,Buprenorphine,35,F,,,,
El Dorado,2014,Q1,Buprenorphine,50,F,,,,
El Dorado,2014,Q2,Buprenorphine,61,F,,,,
El Dorado,2014,Q3,Buprenorphine,61,F,,,,
El Dorado,2014,Q4,Buprenorphine,58,F,,,,
El Dorado,2015,Q1,Buprenorphine,68,F,,,,
El Dorado,2015,Q2,Buprenorphine,71,F,,,,
El Dorado,2015,Q3,Buprenorphine,86,F,,,,
El Dorado,2015,Q4,Buprenorphine,87,F,,,,
El Dorado,2016,Q1,Buprenorphine,112,F,,,,
El Dorado,2016,Q2,Buprenorphine,131,F,,,,
El Dorado,2016,Q3,Buprenorphine,141,F,,,,
El Dorado,2016,Q4,Buprenorphine,159,F,,,,
El Dorado,2017,Q1,Buprenorphine,183,F,,,,
El Dorado,2017,Q2,Buprenorphine,204,F,,,,
El Dorado,2017,Q3,Buprenorphine,216,F,,,,
El Dorado,2017,Q4,Buprenorphine,245,F,,,,
El Dorado,2018,Q1,Buprenorphine,249,F,,,,
El Dorado,2018,Q2,Buprenorphine,259,F,,,,
El Dorado,2018,Q3,Buprenorphine,262,F,,,,
El Dorado,2018,Q4,Buprenorphine,266,F,,,,
El Dorado,2019,Q1,Buprenorphine,312,F,,,,
El Dorado,2019,Q2,Buprenorphine,341,F,,,,
El Dorado,2019,Q3,Buprenorphine,374,F,,,,
El Dorado,2019,Q4,Buprenorphine,396,F,,,,
El Dorado,2020,Q1,Buprenorphine,414,P,,,,
Fresno,2010,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Fresno,2010,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,,
Fresno,2010,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,,
Fresno,2010,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,,
Fresno,2011,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Fresno,2011,Q2,Buprenorphine,12,F,,,,
Fresno,2011,Q3,Buprenorphine,19,F,,,,
Fresno,2011,Q4,Buprenorphine,21,F,,,,
Fresno,2012,Q1,Buprenorphine,16,F,,,,
Fresno,2012,Q2,Buprenorphine,15,F,,,,
Fresno,2012,Q3,Buprenorphine,14,F,,,,
Fresno,2012,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,,
Fresno,2013,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Fresno,2013,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,,
Fresno,2013,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,,
Fresno,2013,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,,
Fresno,2014,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Fresno,2014,Q2,Buprenorphine,12,F,,,,
Fresno,2014,Q3,Buprenorphine,23,F,,,,
Fresno,2014,Q4,Buprenorphine,19,F,,,,
Fresno,2015,Q1,Buprenorphine,23,F,,,,
Fresno,2015,Q2,Buprenorphine,32,F,,,,
Fresno,2015,Q3,Buprenorphine,38,F,,,,
Fresno,2015,Q4,Buprenorphine,53,F,,,,
Fresno,2016,Q1,Buprenorphine,63,F,,,,
Fresno,2016,Q2,Buprenorphine,70,F,,,,
Fresno,2016,Q3,Buprenorphine,74,F,,,,
Fresno,2016,Q4,Buprenorphine,182,F,,,,
Fresno,2017,Q1,Buprenorphine,256,F,,,,
Fresno,2017,Q2,Buprenorphine,236,F,,,,
Fresno,2017,Q3,Buprenorphine,236,F,,,,
Fresno,2017,Q4,Buprenorphine,273,F,,,,
Fresno,2018,Q1,Buprenorphine,235,F,,,,
Fresno,2018,Q2,Buprenorphine,244,F,,,,
Fresno,2018,Q3,Buprenorphine,220,F,,,,
Fresno,2018,Q4,Buprenorphine,223,F,,,,
Fresno,2019,Q1,Buprenorphine,195,F,,,,
Fresno,2019,Q2,Buprenorphine,227,F,,,,
Fresno,2019,Q3,Buprenorphine,234,F,,,,
Fresno,2019,Q4,Buprenorphine,258,F,,,,
Fresno,2020,Q1,Buprenorphine,251,P,,,,
Glenn,2010,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Glenn,2010,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,,
Glenn,2010,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,,
Glenn,2010,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,,
Glenn,2011,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Glenn,2011,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,,
Glenn,2011,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,,
Glenn,2011,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,,
Glenn,2012,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Glenn,2012,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,,
Glenn,2013,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Glenn,2013,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,,
Glenn,2013,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,,
Glenn,2013,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,,
Glenn,2014,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,,
Glenn,2014,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,,
Glenn,2014,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,,
Glenn,2014,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,,
Glenn,2015,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,,
Glenn,2015,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,,
Glenn,2015,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,,
Glenn,2016,Q1,Buprenorphine,14,F,,,,
Glenn,2016,Q2,Buprenorphine,13,F,,,,
Glenn,2016,Q3,Buprenorphine,18,F,,,,
Glenn,2016,Q4,Buprenorphine,24,F,,,,
Glenn,2017,Q1,Buprenorphine,20,F,,,,
Glenn,2017,Q2,Buprenorphine,18,F,,,,
Glenn,2017,Q3,Buprenorphine,16,F,,,,
Glenn,2017,Q4,Buprenorphine,,F,2,cell suppressed for complementary cell,,
